Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDQ16,OUT027,2566.3254
FDU35,OUT018,1457.1152
NCT29,OUT013,2094.2031
FDZ27,OUT046,879.7366
FDN57,OUT017,2236.6514
FDA03,OUT018,2060.6367
FDZ36,OUT045,3056.369
NCU05,OUT013,1321.0339
FDT39,OUT018,2212.6414
FDK60,OUT017,1611.4613
FDZ25,OUT017,2802.5115
FDG12,OUT046,2150.0615
DRB01,OUT019,722.62
NCC43,OUT027,6012.852
FDX13,OUT019,643.2309
FDM22,OUT049,966.67346
FDJ03,OUT027,1457.3507
FDU14,OUT018,3722.4185
FDB33,OUT010,516.7502
FDP27,OUT046,3085.423
FDO38,OUT010,300.48993
FDE28,OUT027,5860.9893
FDO27,OUT035,1596.051
DRL23,OUT027,2526.5137
FDS28,OUT046,959.1984
FDX24,OUT013,1535.2156
FDZ02,OUT035,1619.7343
FDL46,OUT045,1733.0756
FDS60,OUT027,4688.7803
NCO06,OUT017,690.44354
FDO16,OUT035,1819.2042
FDC60,OUT049,1638.366
FDA48,OUT018,3670.1497
FDZ36,OUT027,4154.942
FDK27,OUT045,2025.7351
FDW23,OUT018,656.41113
FDM14,OUT018,1515.9779
FDM14,OUT013,1713.2411
FDW60,OUT018,2615.7065
FDE21,OUT013,2022.8075
NCM42,OUT035,1749.691
FDY59,OUT010,326.46484
DRI49,OUT049,1361.9843
FDT28,OUT019,441.57056
FDQ22,OUT018,588.89813
FDR60,OUT049,1414.9769
FDC50,OUT019,384.5666
FDV24,OUT013,2385.6152
DRF48,OUT010,725.89777
FDQ47,OUT046,762.80133
DRN36,OUT049,1609.764
NCY06,OUT035,2059.7883
FDE52,OUT035,1471.5364
NCB54,OUT045,1994.8408
NCF31,OUT035,2453.7073
FDJ08,OUT027,4084.1592
NCC07,OUT017,1754.3612
NCD19,OUT027,1691.5918
FDL46,OUT049,2041.4325
FDM20,OUT045,3865.755
NCI06,OUT010,617.6489
DRM11,OUT035,4234.8623
NCH07,OUT018,2431.424
FDS23,OUT013,2111.384
FDO49,OUT018,742.6397
FDS35,OUT049,1156.3654
DRK39,OUT045,1356.911
DRI39,OUT049,966.0827
FDV04,OUT017,2501.7966
NCN14,OUT035,3168.2576
FDH08,OUT013,3945.4233
FDS20,OUT046,3094.636
FDV40,OUT049,1273.586
FDZ48,OUT010,302.0487
FDS24,OUT027,2351.7083
FDK44,OUT049,2812.94
FDS48,OUT045,2482.9873
FDK26,OUT010,681.9218
FDD23,OUT045,3347.1597
NCH54,OUT017,2744.3884
NCP14,OUT010,369.8396
FDM60,OUT010,218.831
FDV24,OUT017,2345.2607
FDH08,OUT018,3221.4302
FDS12,OUT027,3005.497
FDR39,OUT027,4766.343
FDP12,OUT027,1087.8522
DRF60,OUT027,5945.591
FDC09,OUT035,1772.0374
FDF50,OUT018,2922.7063
FDG28,OUT035,3905.7976
NCE19,OUT017,977.82056
NCM53,OUT010,352.20776
NCN18,OUT049,1797.5472
FDF32,OUT035,3187.3057
FDF11,OUT013,3829.2817
DRI59,OUT049,3747.5913
NCG54,OUT035,2758.8193
FDM44,OUT046,1725.5167
FDT57,OUT018,3183.9148
FDV24,OUT046,2399.7747
FDI50,OUT019,592.1875
FDS09,OUT035,936.36975
NCC31,OUT027,3819.268
FDQ07,OUT019,712.0955
FDC22,OUT017,3090.3838
FDZ56,OUT046,2752.876
FDZ40,OUT019,363.931
FDS46,OUT027,3037.217
DRD24,OUT045,2171.8542
FDV45,OUT017,3190.4648
FDL26,OUT045,2446.4136
FDA56,OUT018,1834.7115
FDN27,OUT046,1928.373
FDM20,OUT049,3898.8574
FDO16,OUT017,1887.4325
FDL03,OUT035,3151.1628
FDE58,OUT046,1944.7427
FDI02,OUT027,3092.546
NCC55,OUT019,232.3248
FDR03,OUT018,3093.0195
FDB14,OUT017,1578.0614
FDR45,OUT013,3834.5295
NCN07,OUT017,2166.053
FDM51,OUT019,372.85995
FDT52,OUT027,6145.799
FDL26,OUT046,2461.3325
NCZ42,OUT046,3601.3638
DRI47,OUT019,457.46234
FDW40,OUT013,2269.5762
FDN34,OUT046,2837.7783
FDS01,OUT035,2961.7932
NCG55,OUT045,1939.0481
FDC11,OUT035,1481.4735
FDX35,OUT018,3277.1553
NCB06,OUT046,2646.0884
FDR09,OUT019,679.4409
FDC53,OUT017,1626.9313
FDY45,OUT013,3747.7942
FDA22,OUT010,484.5813
FDE02,OUT035,1589.1444
FDW21,OUT045,1750.6982
FDV34,OUT046,1269.7819
FDS59,OUT049,1757.5498
NCW17,OUT017,2168.9553
NCK54,OUT046,2018.128
FDG17,OUT019,575.46313
FDG35,OUT017,3160.772
FDD08,OUT010,237.44022
NCO07,OUT017,3514.5906
FDJ10,OUT010,392.9906
FDW36,OUT017,1712.1638
FDW21,OUT010,390.9758
FDY19,OUT017,1997.7705
DRE03,OUT013,817.0191
NCC55,OUT049,726.449
FDH52,OUT010,288.5798
FDO09,OUT017,3820.4023
FDU43,OUT045,3815.7732
FDX09,OUT010,640.2647
FDH40,OUT019,316.59198
FDW58,OUT017,1764.8467
FDC47,OUT017,3811.5146
NCR41,OUT035,1618.778
DRG49,OUT035,3895.7668
FDC52,OUT027,4224.1265
FDY13,OUT046,1278.0139
FDY35,OUT013,774.7217
FDI35,OUT017,3331.136
NCU18,OUT049,2254.4717
FDY33,OUT018,2457.4287
FDC15,OUT027,3798.9507
FDU01,OUT049,3040.627
NCU42,OUT046,2731.1865
NCV29,OUT018,2610.994
NCY30,OUT017,3163.3472
FDQ46,OUT049,1797.6237
FDG58,OUT027,3792.1174
FDK33,OUT017,3515.3242
NCD07,OUT045,1869.4373
NCX29,OUT027,3717.1562
NCT42,OUT013,2380.8833
DRN59,OUT035,891.4532
FDI44,OUT035,1359.0164
FDA45,OUT049,2447.223
FDP31,OUT045,948.15027
FDY01,OUT046,1942.8472
FDT09,OUT018,1968.3569
DRH03,OUT027,2499.0295
FDA36,OUT018,2949.0771
NCF31,OUT017,2453.7073
FDG14,OUT049,2398.303
FDG28,OUT027,6145.799
FDU14,OUT049,4127.9272
FDY47,OUT019,411.308
FDI56,OUT049,1452.2543
DRD01,OUT013,883.29144
FDM22,OUT046,985.8398
FDH33,OUT013,759.02783
DRZ24,OUT013,1960.1226
NCQ38,OUT046,1743.1138
FDO16,OUT027,2366.9182
FDU07,OUT027,3723.485
NCB07,OUT013,2937.2314
FDU48,OUT045,2029.5892
NCM43,OUT045,2682.395
FDR31,OUT010,487.45142
DRK49,OUT018,562.48517
NCI30,OUT010,685.5505
DRD60,OUT017,3055.6494
NCG19,OUT046,3341.3918
FDH12,OUT035,1749.1592
FDM32,OUT035,1524.2875
FDM27,OUT035,2529.5054
NCU53,OUT027,4502.9727
NCQ18,OUT046,1639.24
FDS10,OUT013,2763.2424
FDB33,OUT027,4122.785
FDI12,OUT013,1414.9858
NCW42,OUT013,3528.6033
NCC06,OUT018,1898.6809
FDW02,OUT017,2106.9033
NCD43,OUT017,1764.8386
FDM57,OUT018,1210.2035
FDA58,OUT017,3838.5205
FDK56,OUT046,3083.3206
FDP52,OUT045,3681.5225
FDW20,OUT018,1952.9932
FDS52,OUT049,1619.6736
NCT29,OUT018,1805.5055
NCL54,OUT013,2838.9116
FDC05,OUT045,3063.837
FDF34,OUT035,3094.215
FDP03,OUT027,3318.3245
FDD32,OUT010,310.725
FDZ10,OUT045,2102.7356
FDZ40,OUT035,965.72925
FDD51,OUT018,614.66077
NCY30,OUT019,496.1792
FDP58,OUT017,3428.6794
FDV49,OUT017,4186.041
FDY24,OUT019,308.36612
NCO55,OUT017,1774.9716
FDR13,OUT017,1986.6016
FDS51,OUT017,1071.1749
FDP26,OUT045,1663.4966
NCB54,OUT027,3368.936
FDF32,OUT017,3173.0745
FDN31,OUT018,2835.9585
DRM48,OUT017,705.9861
FDN20,OUT049,2694.6504
DRL01,OUT046,3524.8071
FDV56,OUT049,1729.3345
DRH13,OUT027,2546.4116
FDA03,OUT017,2495.2876
FDF47,OUT027,4557.676
FDX32,OUT046,2531.1472
FDX57,OUT049,1599.8657
NCA30,OUT045,2983.64
FDO49,OUT013,836.8159
FDL04,OUT019,362.36026
DRM48,OUT035,726.2416
FDR16,OUT013,3393.0461
NCC19,OUT018,2881.8557
NCE42,OUT045,3214.6218
FDY24,OUT017,950.7061
FDH19,OUT049,2783.7676
FDJ46,OUT013,2835.8486
FDN45,OUT010,732.22675
FDY08,OUT035,2081.7188
FDZ37,OUT035,1482.9215
NCT30,OUT045,842.32025
DRY23,OUT018,591.1125
NCZ30,OUT018,1847.7667
FDC44,OUT018,1698.4355
FDB45,OUT035,1755.8345
FDY04,OUT013,2588.7542
FDM27,OUT046,2696.0276
FDZ43,OUT017,3912.4077
FDT39,OUT019,460.6046
NCC06,OUT019,486.18018
FDL15,OUT027,3819.2036
FDL57,OUT017,3993.9775
FDU08,OUT046,1635.0283
FDK40,OUT017,4184.955
FDQ12,OUT010,648.531
FDS48,OUT017,2523.4504
FDP09,OUT045,3535.3855
FDW21,OUT049,1718.9232
FDY25,OUT035,3027.0938
DRE13,OUT017,1519.9343
FDV43,OUT019,221.01149
FDD22,OUT045,1763.8636
FDM46,OUT019,380.91348
NCO30,OUT010,625.7426
FDM25,OUT046,2854.8408
NCN41,OUT049,2099.653
FDU24,OUT045,1544.688
FDZ50,OUT046,3097.5417
FDP45,OUT013,3831.5012
NCM54,OUT045,2046.7146
FDW10,OUT019,512.5525
FDP20,OUT017,2091.3438
FDK32,OUT046,2510.7651
FDN52,OUT049,1428.6718
FDM58,OUT045,1805.0009
FDZ46,OUT027,3188.6067
NCA18,OUT018,1682.3364
FDD35,OUT046,2131.7585
NCK31,OUT035,898.7868
FDI40,OUT027,2843.1
FDT50,OUT019,358.408
NCT06,OUT046,2658.5425
FDT31,OUT035,3156.182
FDT45,OUT049,966.68005
FDT13,OUT045,3071.2263
FDO50,OUT045,1457.6571
NCU18,OUT010,406.49646
NCR54,OUT049,3093.3406
NCO18,OUT018,2657.459
FDU09,OUT045,914.8744
FDT13,OUT018,2852.0076
FDE09,OUT046,1804.6848
NCK53,OUT019,360.77728
FDG45,OUT049,3529.0183
DRH15,OUT035,806.24725
FDO21,OUT019,786.22174
FDD14,OUT027,4956.966
FDC09,OUT046,1746.0887
FDH45,OUT027,1056.7737
FDV32,OUT046,1167.8793
FDG12,OUT035,2040.2911
FDS32,OUT013,2161.3655
NCL55,OUT018,3372.765
DRE01,OUT035,3853.4712
DRE15,OUT049,1336.7157
NCL42,OUT045,3750.3958
FDP31,OUT013,1025.6718
FDN33,OUT018,1318.1693
FDZ59,OUT046,2614.7864
FDE45,OUT010,565.98706
FDJ07,OUT013,1989.37
FDQ45,OUT018,2801.4302
FDM33,OUT027,5152.3677
FDO15,OUT010,286.89032
FDM46,OUT013,1546.8949
FDR03,OUT045,3438.2454
FDY49,OUT018,2381.9226
FDQ60,OUT045,1955.9718
FDW10,OUT049,2523.1821
FDO51,OUT049,811.30255
FDJ40,OUT018,1512.2513
FDS20,OUT018,2840.1545
FDU45,OUT013,1892.2894
FDV02,OUT035,2755.869
FDN09,OUT046,3760.9949
NCM55,OUT027,4904.522
FDN23,OUT018,2062.3643
FDY31,OUT010,486.3616
FDW03,OUT010,402.4201
FDD14,OUT046,2968.5166
FDV23,OUT017,2010.3408
DRI03,OUT045,2813.4382
FDN13,OUT035,1596.018
FDF45,OUT027,1844.2739
FDU46,OUT035,1465.209
FDB57,OUT049,3602.097
FDV12,OUT049,1675.9103
FDQ58,OUT013,2385.9473
NCA18,OUT017,1935.6626
FDH52,OUT049,1040.346
FDM24,OUT018,2214.8042
NCP43,OUT027,4598.378
NCO18,OUT019,496.1792
FDM32,OUT017,1507.5963
NCL07,OUT017,735.2645
FDK03,OUT013,4316.838
FDP59,OUT017,1723.0459
FDQ24,OUT049,4184.059
FDQ16,OUT018,1517.4746
FDU44,OUT013,2615.4253
FDH28,OUT010,214.51491
FDV28,OUT019,211.71832
FDM22,OUT045,956.7565
FDR56,OUT046,3095.803
FDV39,OUT049,3024.2742
FDU37,OUT019,362.11865
FDQ11,OUT010,1082.8694
FDX02,OUT045,3681.571
NCS42,OUT018,1371.9117
FDY57,OUT027,2811.9778
FDB21,OUT049,3744.5798
FDE28,OUT017,3681.9722
FDQ55,OUT017,2046.0032
FDA48,OUT049,3622.325
FDZ19,OUT045,2777.0107
NCC43,OUT045,3621.0173
NCV18,OUT046,1664.7467
NCA42,OUT018,2346.687
FDY45,OUT046,3774.489
NCC30,OUT045,2891.8142
FDM57,OUT013,1410.9075
FDL09,OUT010,413.4597
FDB09,OUT027,3379.273
FDT44,OUT035,1924.626
NCT06,OUT027,3981.491
FDX26,OUT049,3136.544
FDK32,OUT013,2476.5476
DRA12,OUT046,2158.6038
FDO46,OUT010,648.5884
FDE52,OUT013,1399.752
NCH42,OUT045,3743.9475
FDV08,OUT035,848.1808
FDB47,OUT018,2964.579
FDC28,OUT010,337.3064
FDD22,OUT046,1962.469
FDS07,OUT027,3222.676
DRI13,OUT045,3475.5852
FDG32,OUT018,3655.1616
FDU14,OUT017,4232.2554
FDD28,OUT019,277.17017
NCP41,OUT017,1830.8525
FDS08,OUT049,2819.523
FDX47,OUT045,2491.558
FDC53,OUT019,336.2363
FDQ19,OUT035,3959.7036
FDL14,OUT045,2321.8057
FDM33,OUT019,751.156
FDA51,OUT045,1896.9929
FDZ27,OUT018,752.2843
FDT04,OUT046,762.5851
DRC13,OUT049,2039.1182
FDR16,OUT027,4944.261
FDQ03,OUT027,6108.133
FDE38,OUT035,2655.1838
DRH23,OUT027,1958.6952
FDT11,OUT019,584.56683
FDD09,OUT035,3015.6777
FDR40,OUT045,1359.304
FDX07,OUT017,3160.4873
FDR07,OUT035,1698.6049
FDA51,OUT017,1929.0087
FDT59,OUT019,635.88214
FDF20,OUT017,3142.7715
FDR13,OUT045,1896.2709
FDY26,OUT049,3607.6807
FDW04,OUT017,2100.0906
FDK52,OUT017,3754.0928
FDN60,OUT049,2663.567
FDM09,OUT019,752.8197
FDP46,OUT049,1432.2887
FDB50,OUT019,352.12225
NCQ29,OUT049,3826.3333
FDP16,OUT027,6145.799
FDX33,OUT018,2380.5188
FDP07,OUT010,618.76105
FDN22,OUT046,3507.0508
FDF39,OUT049,4126.2896
FDS21,OUT017,1092.7067
NCM42,OUT013,1738.7687
FDK50,OUT019,517.40155
DRF13,OUT027,3623.241
FDH35,OUT018,2279.1282
FDP60,OUT018,1406.025
DRJ49,OUT027,3264.0918
NCT42,OUT019,445.77905
FDE38,OUT049,2625.1816
FDI04,OUT049,3109.241
NCH54,OUT045,2637.0457
FDT56,OUT049,1066.7603
DRD15,OUT018,3158.3752
FDV58,OUT013,2151.7607
FDP21,OUT049,3112.42
FDH05,OUT013,3710.896
FDR10,OUT027,4536.8867
NCP06,OUT045,2238.7502
FDF33,OUT049,1725.7081
DRK37,OUT013,2979.6428
DRH49,OUT045,1343.514
FDT58,OUT013,2634.0903
FDD41,OUT018,1549.8868
FDP40,OUT018,1936.1443
FDM51,OUT027,2580.8604
FDO45,OUT010,345.11542
FDW33,OUT010,367.249
FDY24,OUT045,936.3401
FDB10,OUT010,610.30273
FDM40,OUT035,2156.5679
NCI06,OUT017,3030.4526
FDW12,OUT019,440.67053
FDX48,OUT027,3964.3496
NCW05,OUT027,2776.6309
FDX27,OUT017,1600.409
DRM37,OUT045,3095.8376
FDA38,OUT045,3830.8992
FDR36,OUT046,781.7173
FDZ45,OUT046,3121.046
FDG05,OUT017,2616.2815
FDK28,OUT013,4198.425
FDV47,OUT045,1391.12
FDN21,OUT045,2567.2637
FDP20,OUT027,2772.0483
FDI35,OUT045,3249.1343
DRY23,OUT013,784.175
FDA56,OUT017,2084.7075
FDB09,OUT013,2069.8953
NCO26,OUT027,3127.2812
FDQ49,OUT018,2189.457
FDI52,OUT027,2952.542
FDZ44,OUT027,3036.3413
FDZ09,OUT018,2439.6528
FDY03,OUT049,1970.4978
NCG42,OUT017,2219.3323
DRI13,OUT027,5535.2964
FDQ32,OUT013,2134.1792
FDW16,OUT035,1524.1573
FDU27,OUT046,857.6878
FDR28,OUT010,548.545
FDQ49,OUT010,526.3204
FDS37,OUT046,1956.7627
FDW26,OUT018,3252.7815
FDX12,OUT018,3312.718
NCP06,OUT013,2380.2188
FDW45,OUT010,471.6921
NCN30,OUT049,1588.3574
FDN24,OUT049,985.66125
NCL41,OUT027,1065.9998
FDR02,OUT019,383.5016
FDD09,OUT010,601.51056
FDS33,OUT010,359.9115
FDU22,OUT045,2015.2355
FDI53,OUT013,2474.5984
DRH01,OUT049,2916.2236
FDX32,OUT013,2269.5762
NCP30,OUT018,604.7527
FDB60,OUT045,3045.584
FDB14,OUT049,1542.7432
NCP02,OUT035,952.9883
FDJ10,OUT017,2134.7993
FDG34,OUT046,1824.0206
NCB18,OUT017,1456.6812
FDM16,OUT049,1270.0336
FDW25,OUT018,1410.0616
FDB35,OUT010,355.8695
DRN11,OUT013,2157.39
FDF41,OUT019,732.04083
FDH16,OUT045,1398.9224
NCQ50,OUT018,3005.0254
DRH23,OUT018,730.80066
DRJ37,OUT013,2359.6448
DRJ24,OUT027,4797.176
FDY16,OUT035,3173.803
FDQ27,OUT045,1778.0679
FDZ33,OUT045,2423.3694
FDF29,OUT045,2145.1914
FDA08,OUT049,2507.6423
FDG31,OUT046,1118.123
FDE34,OUT019,651.7107
NCR30,OUT027,2072.4514
FDV33,OUT035,3849.8318
DRZ24,OUT018,1795.5013
NCL54,OUT035,2913.759
FDR12,OUT049,2860.2805
NCC54,OUT046,3561.352
DRN59,OUT013,850.84863
FDX50,OUT019,334.20038
FDV31,OUT027,4647.755
NCA29,OUT027,4430.951
FDW60,OUT049,2846.0918
FDX08,OUT017,3162.4473
DRD49,OUT013,3681.267
FDD33,OUT046,3472.4153
FDW35,OUT013,752.4852
FDJ36,OUT017,1717.8466
FDV51,OUT035,2747.3245
FDW36,OUT046,1707.9526
FDH35,OUT046,2594.8545
NCS30,OUT027,3170.9407
FDN49,OUT017,713.23975
FDL08,OUT018,3277.3423
FDI09,OUT013,3644.6558
FDP19,OUT018,1847.8937
FDU21,OUT010,205.80692
NCP41,OUT045,1682.3281
FDY10,OUT013,1905.5566
FDP12,OUT018,584.39124
NCN26,OUT049,1960.63
FDK44,OUT013,2783.9275
FDC28,OUT049,1701.6986
FDJ41,OUT027,6258.588
NCT29,OUT035,2057.1238
NCH42,OUT019,618.1171
FDU60,OUT018,2381.9946
FDS02,OUT045,3047.3616
FDC51,OUT046,2117.5413
FDU03,OUT013,2944.9192
FDX39,OUT045,3477.9355
NCY05,OUT010,215.1713
NCL06,OUT027,5976.6836
FDD32,OUT035,1383.0791
NCN41,OUT045,2003.4315
NCX53,OUT049,2317.4985
FDU57,OUT019,443.69382
FDQ23,OUT046,1732.935
FDQ52,OUT045,4145.811
FDC14,OUT045,719.4443
FDY09,OUT035,2979.196
FDQ28,OUT045,2494.9934
FDV25,OUT046,3680.8562
FDJ07,OUT035,1995.0234
DRB25,OUT049,1722.9729
FDK52,OUT019,701.78314
FDY52,OUT027,1772.745
FDB28,OUT046,3081.711
FDT36,OUT035,677.408
FDV25,OUT017,3745.1301
NCN07,OUT027,3381.0732
FDC57,OUT017,3149.0435
FDQ03,OUT018,3129.8328
FDU23,OUT017,2810.7466
NCX41,OUT035,3596.1934
NCD06,OUT035,884.3617
FDW08,OUT045,1703.9672
NCU29,OUT017,2448.3743
NCE06,OUT013,2485.786
FDV52,OUT010,339.7745
FDB02,OUT017,2936.6677
NCR18,OUT045,726.6776
FDK16,OUT049,1571.3536
NCQ29,OUT010,667.3758
FDZ01,OUT019,347.0037
FDW27,OUT035,2502.8008
FDD17,OUT018,3296.316
FDW39,OUT013,2785.4414
DRH59,OUT045,1234.1392
FDS52,OUT013,1707.798
FDU40,OUT027,5349.793
NCF54,OUT013,2745.433
FDH46,OUT045,1694.7964
NCP14,OUT049,1721.304
FDH50,OUT049,3112.985
DRF15,OUT010,461.3692
FDV27,OUT027,2400.6418
NCJ06,OUT049,2079.5007
FDN02,OUT018,2941.9478
FDQ51,OUT049,882.2315
FDQ07,OUT017,3687.691
FDS45,OUT049,1845.4878
NCJ06,OUT045,2048.7046
FDD36,OUT035,2015.296
FDY25,OUT045,3063.6084
FDU52,OUT046,2388.6257
DRK47,OUT017,3882.6848
NCL30,OUT017,2112.9038
FDN22,OUT035,3753.446
NCF30,OUT027,3138.07
FDK03,OUT035,4253.932
FDT45,OUT017,1008.6183
NCC54,OUT027,5884.763
FDP08,OUT018,2889.1418
FDU44,OUT046,2656.27
DRG39,OUT035,988.47833
FDU32,OUT049,2083.6724
FDY27,OUT049,2884.3687
NCP54,OUT013,2134.2969
NCZ41,OUT049,2056.411
DRL49,OUT013,2423.1267
FDI05,OUT018,1155.7332
FDY56,OUT045,3753.6846
DRC13,OUT013,2038.1302
NCV29,OUT017,2941.7664
FDR24,OUT049,1459.4523
FDZ34,OUT018,3003.3765
FDP37,OUT035,2031.9957
FDX08,OUT027,4907.7476
FDS57,OUT045,2177.1047
NCG18,OUT049,1735.3331
FDK25,OUT018,2689.3677
FDH53,OUT049,1300.4746
DRI59,OUT018,3180.849
FDA52,OUT046,2842.0396
FDT20,OUT010,211.52885
FDE36,OUT019,459.4817
FDI24,OUT017,2859.59
FDB28,OUT018,2898.3032
FDV11,OUT017,2873.6052
FDP01,OUT046,2345.87
FDD34,OUT027,3936.4602
FDJ50,OUT027,1488.6022
FDZ44,OUT013,1993.1825
DRO59,OUT035,1325.5574
DRB48,OUT045,766.24475
FDR21,OUT018,2591.383
NCE42,OUT010,759.0245
FDO23,OUT046,1526.017
NCE30,OUT018,3081.301
FDQ22,OUT035,750.3339
FDY01,OUT045,1905.5122
FDS08,OUT017,2860.294
FDG28,OUT018,3277.3423
FDQ51,OUT018,765.7844
FDB05,OUT017,4127.2183
FDO56,OUT049,1960.8383
FDE02,OUT018,1346.5919
FDN45,OUT017,3582.1074
FDS09,OUT013,895.9694
NCA54,OUT018,2645.2869
FDP09,OUT010,658.436
FDC53,OUT045,1571.7086
NCM55,OUT017,3182.2527
FDL09,OUT018,2602.944
FDA11,OUT019,371.8137
FDA50,OUT045,1548.2911
FDC23,OUT017,3217.2703
FDE22,OUT049,2624.67
FDD23,OUT046,3381.1804
NCA29,OUT049,2886.2666
FDK38,OUT046,2365.8433
DRC13,OUT046,2046.6661
NCP43,OUT049,2869.6626
FDX28,OUT049,1611.1125
FDF08,OUT049,1454.122
FDZ33,OUT046,2453.4006
FDD10,OUT049,2769.269
FDO58,OUT017,2641.7678
FDI50,OUT017,3812.8193
FDO58,OUT045,2568.8188
FDX08,OUT013,2973.1165
NCK17,OUT010,218.46707
FDF39,OUT035,4232.8525
FDU45,OUT010,388.4733
NCJ18,OUT018,1588.7396
DRC27,OUT019,711.3599
DRC25,OUT035,1582.3129
FDU59,OUT035,2493.6292
FDU28,OUT035,3160.4888
NCP30,OUT046,738.60254
FDB39,OUT018,805.7356
FDE41,OUT013,1416.3676
DRH11,OUT010,278.58313
FDA58,OUT045,3809.201
FDU50,OUT046,1921.8904
FDM34,OUT013,2128.8193
FDM44,OUT027,2441.675
FDR39,OUT045,2871.5737
FDM25,OUT045,2817.3313
FDQ49,OUT049,2467.7341
DRH25,OUT018,819.9121
FDM09,OUT027,4222.0044
FDL44,OUT019,494.0067
NCR42,OUT018,550.36456
DRL59,OUT046,966.14484
FDX43,OUT013,2605.5542
DRK47,OUT010,552.94635
FDU48,OUT018,1751.2609
FDY12,OUT045,831.9451
NCN43,OUT018,1872.5078
NCM55,OUT018,2858.4155
FDQ21,OUT027,3444.7358
FDX13,OUT035,4223.9146
NCK30,OUT027,5229.226
FDG20,OUT049,2802.1829
DRG27,OUT017,763.57214
FDY14,OUT018,3657.6013
FDP59,OUT035,1720.5446
FDU60,OUT017,2849.6228
NCC18,OUT019,489.652
DRJ39,OUT017,3571.9194
FDS07,OUT049,2010.9692
FDM08,OUT027,5527.3516
FDP51,OUT045,2018.855
FDU16,OUT035,1420.2134
FDH12,OUT013,1720.0356
DRE48,OUT010,623.05994
NCL42,OUT027,6142.2617
FDR21,OUT045,2763.8784
NCW29,OUT035,2207.1008
FDO11,OUT013,4380.4395
NCM31,OUT049,2165.267
FDV35,OUT019,427.8378
FDF58,OUT017,1088.0769
NCE43,OUT049,2732.3186
FDA02,OUT035,2518.5186
DRL37,OUT010,261.79352
FDR24,OUT018,1340.9629
FDW59,OUT049,1385.3856
FDS22,OUT049,773.4595
FDW24,OUT017,870.47424
FDU24,OUT035,1564.2516
FDA21,OUT027,4959.317
FDH58,OUT027,3014.5403
FDW36,OUT018,1515.2374
FDI45,OUT027,4570.8457
FDU01,OUT018,2974.2837
FDF35,OUT027,2795.3618
FDU43,OUT019,659.9494
FDE24,OUT019,438.2741
